dataset,evaluation_role,gate_kind,tolerance,n_pair_seed_cases,accept_rate,false_accept_rate_among_accepted,false_accept_fraction_all,accepted_mae,rejected_mae,overall_mae
GSM8K,heldout_training_seed,kl_baseline,0.01,35,1,0.34285714285714286,0.34285714285714286,0.0061426707652611082,,0.0061426707652611082
GSM8K,heldout_training_seed,kl_baseline,0.02,35,1,0,0,0.0061426707652611082,,0.0061426707652611082
GSM8K,heldout_training_seed,kl_baseline,0.050000000000000003,35,1,0,0,0.0061426707652611082,,0.0061426707652611082
GSM8K,official_test,kl_baseline,0.01,33,1,0.15151515151515152,0.15151515151515152,0.0044375162061446342,,0.0044375162061446342
GSM8K,official_test,kl_baseline,0.02,33,1,0,0,0.0044375162061446342,,0.0044375162061446342
GSM8K,official_test,kl_baseline,0.050000000000000003,33,1,0,0,0.0044375162061446342,,0.0044375162061446342
SVAMP,external_prompt_distribution,kl_baseline,0.01,24,0.75,0.16666666666666666,0.125,0.0052629285120993586,0.012617258572126868,0.0071015110271062361
SVAMP,external_prompt_distribution,kl_baseline,0.02,24,0.75,0,0,0.0052629285120993586,0.012617258572126868,0.0071015110271062361
SVAMP,external_prompt_distribution,kl_baseline,0.050000000000000003,24,0.75,0,0,0.0052629285120993586,0.012617258572126868,0.0071015110271062361
