training_seed,final_step,final_mean_reward,final_correctness_reward,final_kl_proxy,final_mean_completion_length,final_truncation_rate,peak_gpu_memory_bytes,mean_tokens_per_second
20260826,400,0.05000000074505806,0,0.10277690794318914,10,0,4347232768,316.69620037401717
20260827,400,0.14999999329447747,0.10000000000000001,0.081099414080381391,9.9499999999999993,0,2081740800,328.5689851708791
20260828,400,0.040000000596046449,0,0.14070004709064959,9.6999999999999993,0,2078005248,317.08099988580875
