dataset,split,estimator,n_pair_seed_cases,mc_reference_inclusion_count,mc_reference_inclusion_rate,interpretation
GSM8K,development,is,60,60,1,finite_on_policy_MC_reference_inclusion_not_exact_truth_coverage
GSM8K,development,prompt_wis,60,44,0.73333333333333328,finite_on_policy_MC_reference_inclusion_not_exact_truth_coverage
GSM8K,test,is,24,24,1,finite_on_policy_MC_reference_inclusion_not_exact_truth_coverage
GSM8K,test,prompt_wis,24,16,0.66666666666666663,finite_on_policy_MC_reference_inclusion_not_exact_truth_coverage
