dataset,split,evaluation_role,gate_kind,diagnostic_name,tolerance,seed_scope,n_pairs,accepted_count,rejected_count,accept_rate,reliable_count,unreliable_count,false_accept_count,false_accept_rate_among_accepted,false_accept_fraction_all,false_reject_count,false_reject_rate_among_reliable,accepted_mae,rejected_mae,overall_mae
GSM8K,test,official_test,kl_baseline,tokenwise_kl_proxy,0.05,all,33,33,0,1.0,33,0,0,0.0,0.0,0,0.0,0.004437516206144634,,0.004437516206144634
GSM8K,test,official_test,kl_baseline,tokenwise_kl_proxy,0.05,20260826,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.0015347341458986036,,0.0015347341458986036
GSM8K,test,official_test,kl_baseline,tokenwise_kl_proxy,0.05,20260827,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.008133254420478162,,0.008133254420478162
GSM8K,test,official_test,kl_baseline,tokenwise_kl_proxy,0.05,20260828,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.003644560052057136,,0.003644560052057136
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.01,all,33,33,0,1.0,28,5,5,0.15151515151515152,0.15151515151515152,0,0.0,0.004437516206144634,,0.004437516206144634
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.01,20260826,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.0015347341458986036,,0.0015347341458986036
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.01,20260827,11,11,0,1.0,6,5,5,0.45454545454545453,0.45454545454545453,0,0.0,0.008133254420478162,,0.008133254420478162
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.01,20260828,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.003644560052057136,,0.003644560052057136
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.02,all,33,33,0,1.0,33,0,0,0.0,0.0,0,0.0,0.004437516206144634,,0.004437516206144634
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.02,20260826,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.0015347341458986036,,0.0015347341458986036
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.02,20260827,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.008133254420478162,,0.008133254420478162
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.02,20260828,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.003644560052057136,,0.003644560052057136
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.05,all,33,33,0,1.0,33,0,0,0.0,0.0,0,0.0,0.004437516206144634,,0.004437516206144634
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.05,20260826,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.0015347341458986036,,0.0015347341458986036
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.05,20260827,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.008133254420478162,,0.008133254420478162
GSM8K,test,official_test,primary_ress,median_prompt_relative_ess,0.05,20260828,11,11,0,1.0,11,0,0,0.0,0.0,0,0.0,0.003644560052057136,,0.003644560052057136
